-----------Perceptron---------
***** Random Search *****
Cross-Validation:10 and number of iterations:50
# Tuning hyper-parameters for accuracy

Best parameters and scores set found on development set:
{'warm_start': False, 'shuffle': True, 'random_state': 10, 'penalty': None, 'n_jobs': 2, 'fit_intercept': False, 'eta0': 4, 'alpha': 0.001}
0.858 (+/-0.051) for {'warm_start': False, 'shuffle': False, 'random_state': 60, 'penalty': None, 'n_jobs': 4, 'fit_intercept': False, 'eta0': 3, 'alpha': 1e-05}
0.856 (+/-0.061) for {'warm_start': True, 'shuffle': False, 'random_state': 10, 'penalty': 'l1', 'n_jobs': 4, 'fit_intercept': True, 'eta0': 1, 'alpha': 1e-05}
0.858 (+/-0.051) for {'warm_start': False, 'shuffle': False, 'random_state': 80, 'penalty': None, 'n_jobs': 4, 'fit_intercept': False, 'eta0': 1, 'alpha': 1e-05}
0.858 (+/-0.053) for {'warm_start': True, 'shuffle': True, 'random_state': 10, 'penalty': 'l1', 'n_jobs': 1, 'fit_intercept': False, 'eta0': 1, 'alpha': 0.001}
0.848 (+/-0.080) for {'warm_start': True, 'shuffle': True, 'random_state': 60, 'penalty': 'elasticnet', 'n_jobs': 2, 'fit_intercept': True, 'eta0': 2, 'alpha': 1e-05}
0.730 (+/-0.087) for {'warm_start': True, 'shuffle': False, 'random_state': 80, 'penalty': 'l2', 'n_jobs': 4, 'fit_intercept': False, 'eta0': 1, 'alpha': 0.01}
0.860 (+/-0.057) for {'warm_start': True, 'shuffle': False, 'random_state': 20, 'penalty': None, 'n_jobs': 3, 'fit_intercept': True, 'eta0': 2, 'alpha': 0.001}
0.850 (+/-0.045) for {'warm_start': True, 'shuffle': True, 'random_state': 10, 'penalty': 'l1', 'n_jobs': 3, 'fit_intercept': False, 'eta0': 4, 'alpha': 1e-05}
0.858 (+/-0.051) for {'warm_start': True, 'shuffle': False, 'random_state': 140, 'penalty': None, 'n_jobs': 1, 'fit_intercept': False, 'eta0': 1, 'alpha': 1e-05}
0.845 (+/-0.054) for {'warm_start': False, 'shuffle': True, 'random_state': 40, 'penalty': 'elasticnet', 'n_jobs': 2, 'fit_intercept': True, 'eta0': 3, 'alpha': 0.0001}
0.851 (+/-0.045) for {'warm_start': True, 'shuffle': True, 'random_state': 20, 'penalty': None, 'n_jobs': 1, 'fit_intercept': True, 'eta0': 3, 'alpha': 1e-05}
0.860 (+/-0.057) for {'warm_start': True, 'shuffle': False, 'random_state': 10, 'penalty': None, 'n_jobs': 1, 'fit_intercept': True, 'eta0': 1, 'alpha': 1e-05}
0.855 (+/-0.069) for {'warm_start': False, 'shuffle': False, 'random_state': 140, 'penalty': 'elasticnet', 'n_jobs': 4, 'fit_intercept': True, 'eta0': 1, 'alpha': 0.0001}
0.860 (+/-0.055) for {'warm_start': False, 'shuffle': True, 'random_state': 20, 'penalty': 'l1', 'n_jobs': 2, 'fit_intercept': False, 'eta0': 3, 'alpha': 1e-05}
0.765 (+/-0.075) for {'warm_start': True, 'shuffle': False, 'random_state': 80, 'penalty': 'l2', 'n_jobs': 3, 'fit_intercept': True, 'eta0': 1, 'alpha': 0.01}
0.730 (+/-0.087) for {'warm_start': False, 'shuffle': False, 'random_state': 10, 'penalty': 'l2', 'n_jobs': 4, 'fit_intercept': False, 'eta0': 1, 'alpha': 0.01}
0.848 (+/-0.039) for {'warm_start': True, 'shuffle': True, 'random_state': 140, 'penalty': 'l1', 'n_jobs': 2, 'fit_intercept': False, 'eta0': 1, 'alpha': 1e-05}
0.856 (+/-0.063) for {'warm_start': False, 'shuffle': True, 'random_state': 60, 'penalty': 'l1', 'n_jobs': 1, 'fit_intercept': True, 'eta0': 1, 'alpha': 0.0001}

# Tuning hyper-parameters for precision

Best parameters and scores set found on development set:
{'warm_start': True, 'shuffle': True, 'random_state': 20, 'penalty': 'l1', 'n_jobs': 1, 'fit_intercept': True, 'eta0': 2, 'alpha': 1e-05}
0.861882716049

Random scores on development set:
0.852 (+/-0.055) for {'warm_start': False, 'shuffle': True, 'random_state': 140, 'penalty': 'l1', 'n_jobs': 2, 'fit_intercept': True, 'eta0': 1, 'alpha': 0.001}
0.858 (+/-0.051) for {'warm_start': False, 'shuffle': False, 'random_state': 140, 'penalty': None, 'n_jobs': 3, 'fit_intercept': False, 'eta0': 2, 'alpha': 1e-05}
0.840 (+/-0.082) for {'warm_start': True, 'shuffle': False, 'random_state': 60, 'penalty': 'l2', 'n_jobs': 4, 'fit_intercept': True, 'eta0': 2, 'alpha': 0.0001}
0.847 (+/-0.061) for {'warm_start': True, 'shuffle': False, 'random_state': 80, 'penalty': 'l1', 'n_jobs': 2, 'fit_intercept': True, 'eta0': 3, 'alpha': 0.0001}
0.806 (+/-0.046) for {'warm_start': False, 'shuffle': True, 'random_state': 40, 'penalty': 'l1', 'n_jobs': 1, 'fit_intercept': False, 'eta0': 1, 'alpha': 0.01}
0.857 (+/-0.040) for {'warm_start': False, 'shuffle': True, 'random_state': 10, 'penalty': None, 'n_jobs': 3, 'fit_intercept': True, 'eta0': 1, 'alpha': 0.0001}
0.860 (+/-0.057) for {'warm_start': True, 'shuffle': False, 'random_state': 40, 'penalty': None, 'n_jobs': 3, 'fit_intercept': True, 'eta0': 3, 'alpha': 0.01}
0.849 (+/-0.046) for {'warm_start': False, 'shuffle': True, 'random_state': 20, 'penalty': 'l1', 'n_jobs': 1, 'fit_intercept': True, 'eta0': 3, 'alpha': 1e-05}
0.674 (+/-0.105) for {'warm_start': True, 'shuffle': False, 'random_state': 40, 'penalty': 'l2', 'n_jobs': 4, 'fit_intercept': False, 'eta0': 3, 'alpha': 0.01}
0.851 (+/-0.051) for {'warm_start': True, 'shuffle': False, 'random_state': 140, 'penalty': 'l2', 'n_jobs': 1, 'fit_intercept': False, 'eta0': 3, 'alpha': 1e-05}
0.802 (+/-0.049) for {'warm_start': True, 'shuffle': False, 'random_state': 20, 'penalty': 'l2', 'n_jobs': 4, 'fit_intercept': True, 'eta0': 3, 'alpha': 0.001}
0.619 (+/-0.205) for {'warm_start': False, 'shuffle': True, 'random_state': 20, 'penalty': 'l2', 'n_jobs': 3, 'fit_intercept': False, 'eta0': 4, 'alpha': 0.01}
0.841 (+/-0.072) for {'warm_start': True, 'shuffle': True, 'random_state': 80, 'penalty': None, 'n_jobs': 1, 'fit_intercept': True, 'eta0': 3, 'alpha': 0.0001}
0.754 (+/-0.077) for {'warm_start': True, 'shuffle': True, 'random_state': 10, 'penalty': 'l2', 'n_jobs': 4, 'fit_intercept': False, 'eta0': 4, 'alpha': 0.001}
0.674 (+/-0.105) for {'warm_start': True, 'shuffle': False, 'random_state': 10, 'penalty': 'l2', 'n_jobs': 3, 'fit_intercept': False, 'eta0': 3, 'alpha': 0.01}
0.802 (+/-0.063) for {'warm_start': False, 'shuffle': False, 'random_state': 10, 'penalty': 'elasticnet', 'n_jobs': 4, 'fit_intercept': True, 'eta0': 4, 'alpha': 0.001}
0.681 (+/-0.087) for {'warm_start': False, 'shuffle': True, 'random_state': 140, 'penalty': 'l2', 'n_jobs': 2, 'fit_intercept': True, 'eta0': 3, 'alpha': 0.01}
0.684 (+/-0.148) for {'warm_start': False, 'shuffle': False, 'random_state': 40, 'penalty': 'l2', 'n_jobs': 4, 'fit_intercept': True, 'eta0': 3, 'alpha': 0.01}
0.856 (+/-0.061) for {'warm_start': True, 'shuffle': False, 'random_state': 10, 'penalty': 'l1', 'n_jobs': 1, 'fit_intercept': True, 'eta0': 1, 'alpha': 1e-05}
0.852 (+/-0.071) for {'warm_start': False, 'shuffle': True, 'random_state': 80, 'penalty': 'l1', 'n_jobs': 1, 'fit_intercept': True, 'eta0': 3, 'alpha': 1e-05}
0.802 (+/-0.063) for {'warm_start': True, 'shuffle': False, 'random_state': 40, 'penalty': 'l2', 'n_jobs': 4, 'fit_intercept': True, 'eta0': 4, 'alpha': 0.001}
0.765 (+/-0.075) for {'warm_start': True, 'shuffle': False, 'random_state': 80, 'penalty': 'l2', 'n_jobs': 3, 'fit_intercept': True, 'eta0': 1, 'alpha': 0.01}
0.860 (+/-0.057) for {'warm_start': True, 'shuffle': False, 'random_state': 10, 'penalty': None, 'n_jobs': 2, 'fit_intercept': True, 'eta0': 2, 'alpha': 0.0001}
0.858 (+/-0.051) for {'warm_start': True, 'shuffle': False, 'random_state': 40, 'penalty': None, 'n_jobs': 4, 'fit_intercept': False, 'eta0': 4, 'alpha': 0.0001}
0.843 (+/-0.058) for {'warm_start': False, 'shuffle': False, 'random_state': 140, 'penalty': 'l2', 'n_jobs': 3, 'fit_intercept': False, 'eta0': 1, 'alpha': 0.0001}
0.700 (+/-0.074) for {'warm_start': False, 'shuffle': False, 'random_state': 80, 'penalty': 'elasticnet', 'n_jobs': 4, 'fit_intercept': False, 'eta0': 2, 'alpha': 0.01}
0.855 (+/-0.069) for {'warm_start': True, 'shuffle': False, 'random_state': 140, 'penalty': 'l2', 'n_jobs': 1, 'fit_intercept': True, 'eta0': 1, 'alpha': 0.0001}
0.805 (+/-0.073) for {'warm_start': True, 'shuffle': True, 'random_state': 140, 'penalty': 'l1', 'n_jobs': 3, 'fit_intercept': False, 'eta0': 2, 'alpha': 0.01}
0.860 (+/-0.057) for {'warm_start': True, 'shuffle': False, 'random_state': 60, 'penalty': None, 'n_jobs': 2, 'fit_intercept': True, 'eta0': 4, 'alpha': 0.01}
0.862 (+/-0.041) for {'warm_start': True, 'shuffle': True, 'random_state': 20, 'penalty': 'l1', 'n_jobs': 1, 'fit_intercept': True, 'eta0': 2, 'alpha': 1e-05}
0.772 (+/-0.036) for {'warm_start': False, 'shuffle': True, 'random_state': 20, 'penalty': 'l2', 'n_jobs': 2, 'fit_intercept': True, 'eta0': 4, 'alpha': 0.001}
0.827 (+/-0.051) for {'warm_start': True, 'shuffle': False, 'random_state': 20, 'penalty': 'l2', 'n_jobs': 1, 'fit_intercept': True, 'eta0': 1, 'alpha': 0.001}
0.850 (+/-0.043) for {'warm_start': True, 'shuffle': True, 'random_state': 10, 'penalty': 'elasticnet', 'n_jobs': 3, 'fit_intercept': False, 'eta0': 1, 'alpha': 0.0001}
